Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Cumulative Revenue
5506-1,2013-07-26,Charles Sheldon,"180 High Street, Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2013-07-28,8.82,20.99,12.17,45.0,358.47,7.0,34.23,325.35,4.81,338.98,65234.46
5183-1,2013-07-26,Charles Sheldon,"180 High Street, Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan Peinders,Office Supplies,Wrap Bag,Regular Air,2013-07-28,3.65,5.98,2.33,26.0,402.93,3.0,24.18,378.75,1.49,383.53,65617.99
5642-1,2013-07-26,Charles Sheldon,"180 High Street, Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2013-07-28,6.39,19.98,13.59,50.0,334.5,2.0,3.65,315.39,4.0,339.19,65957.18000000001
5943-1,2013-07-26,Charles Sheldon,"180 High Street, Windsor",Melbourne,VIC,Home Office,Connor Betts,Medium,Artisan 48 Labels,Technology,Small Box,Regular Air,2013-07-28,3.84,6.3,2.46,14.0,197.82,10.0,3.96,193.64,0.5,190.59,66147.77
5261-1,2013-07-26,Charles Sheldon,"180 High Street, Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,Express Air,2013-07-28,0.24,1.26,1.02,22.0,39.0,9.0,3.91,36.59,0.7,33.99,66181.76000000001
5338-1,2013-07-26,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road, Moore Park",Sydney,NSW,Consumer,Tina Carlton,Low,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Express Air,2013-07-27,13.88,22.38,8.5,31.0,90.06,0.0,10.68,90.06,15.1,92.83,66274.59000000001
5424-1,2013-07-26,Eric Barreto,"359 Crown Street, Surry Hills",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan 48 Labels,Office Supplies,Wrap Bag,Regular Air,2013-07-31,3.84,6.3,2.46,18.0,146.96,1.0,14.48,146.16,0.5,132.36,66406.95000000001
5750-1,2013-07-26,George Zrebassa,"81 MacLeay St, Potts Point",Sydney,NSW,Consumer,Samantha Chairs,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Box,Regular Air,2013-07-27,4.79,11.97,7.18,9.0,164.11,4.0,1.54,161.5,5.81,168.93,66575.88
5419-1,2013-07-27,Jona Lucar,"98-104 Parramatta Rd, Camperdown",Sydney,NSW,Small Business,Phoebe Gour,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Wrap Bag,Regular Air,2013-07-29,4.46,10.89,6.43,24.0,330.24,7.0,31.33,306.25,4.5,305.66,66881.54000000001
5216-1,2013-07-27,Jesus Ocampo,"60 Commercial Rd, Prahran",Melbourne,VIC,Corporate,Yvette Biti,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,2013-07-29,1.31,2.84,1.53,46.0,28.92,9.0,2.36,26.59,0.93,27.89,66909.43000000001
5467-2,2013-07-27,Jesus Ocampo,"60 Commercial Rd, Prahran",Melbourne,VIC,Corporate,Yvette Biti,Medium,EcoTones Memo Sheets,Office Supplies,Small Pack,Regular Air,2013-07-29,2.52,4.0,1.48,8.0,436.2,3.0,33.07,422.1,1.3,410.43,67319.86
5458-1,2013-07-27,Jesus Ocampo,"60 Commercial Rd, Prahran",Melbourne,VIC,Home Office,Yvette Biti,Critical,Steady Pocket Accent Highlighters,Technology,Small Pack,Regular Air,2013-07-29,0.93,1.6,0.67,49.0,59.36,2.0,3.95,53.41,1.29,55.14,67375.0
5262-1,2013-07-27,Jesus Ocampo,"60 Commercial Rd, Prahran",Melbourne,VIC,Consumer,Yvette Biti,Critical,Brown Kraft Recycled Envelopes,Office Supplies,Wrap Bag,Regular Air,2013-07-29,11.04,16.98,5.94,32.0,43.2,6.0,3.48,39.74,12.39,40.93,67415.93
5965-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Medium,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2013-07-30,4.79,11.97,7.18,38.0,114.4,3.0,4.49,106.49,5.81,107.7,67523.62999999999
5532-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,Alto Memo Cubes,Technology,Small Box,Regular Air,2013-07-30,3.32,5.18,1.86,18.0,43.22,10.0,4.44,43.54,2.04,43.92,67567.54999999999
5027-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,2013-07-30,2.45,3.89,1.44,29.0,542.12,4.0,41.26,425.7,7.01,430.59,67998.13999999998
5652-1,2013-07-29,Nick Zandusky,"240-242 Johnston Street, Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Medium,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2013-07-30,18.38,29.17,10.79,22.0,581.52,2.0,41.48,342.22,6.27,335.25,68333.38999999998
5926-1,2013-07-29,Nick Zandusky,"240-242 Johnston Street, Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2013-07-30,1.59,2.61,1.02,31.0,61.88,8.0,4.33,47.55,0.5,48.53,68381.91999999998
5107-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-07-30,5.33,8.6,3.27,42.0,749.44,10.0,41.95,857.47,6.19,879.24,69261.15999999999
5339-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2013-07-30,2.29,3.69,1.4,29.0,149.5,7.0,4.49,145.02,0.5,143.51,69404.66999999998
5198-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2013-07-30,1.59,2.61,1.02,42.0,106.58,7.0,40.59,107.29,0.5,101.74,69506.40999999999
5224-1,2013-07-29,Nick Zandusky,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,High,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Express Air,2013-07-30,3.42,8.34,4.92,23.0,119.15,6.0,4.96,123.56,2.64,124.77,69631.18
5255-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade, Bankstown",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan Non-Stick Binders,Technology,Small Box,Regular Air,2013-07-31,2.74,4.49,1.75,25.0,80.6,0.0,5.65,74.93,1.49,70.68,69701.85999999999
5511-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade, Bankstown",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-07-31,4.59,7.28,2.69,1.0,181.64,8.0,5.63,184.01,11.15,190.92,69892.77999999998
5068-1,2013-07-30,Panelope Sewall,"96 Liverpool St, Sydney",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,Smiths Standard Envelopes,Technology,Small Pack,Express Air,2013-07-31,3.52,5.68,2.16,8.0,113.6,10.0,7.95,105.65,1.39,107.04,69999.81999999998
5286-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade, Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,High,Artisan 48 Labels,Furniture,Small Pack,Regular Air,2013-07-31,3.84,6.3,2.46,31.0,227.6,3.0,5.66,223.16,0.5,223.26,70223.07999999997
5625-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade, Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Small Box,Regular Air,2013-07-31,1.76,3.38,1.62,11.0,95.36,3.0,3.76,84.97,0.85,96.31,70319.38999999997
5404-1,2013-07-31,Alex Grayson,"644 George St, Sydney",Sydney,NSW,Consumer,Radhya Staples,Medium,Artisan Poly Binder Pockets,Technology,Jumbo Drum,Delivery Truck,2013-09-02,2.26,3.58,1.32,46.0,157.96,7.0,5.9,148.68,5.47,159.33,70478.71999999997
5569-1,2013-07-31,Brand Markne,"834 Bourke St, Waterloo",Sydney,NSW,Home Office,Charlie Bui,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013-08-02,4.53,7.3,2.77,33.0,294.72,9.0,29.37,264.55,7.72,279.71,70758.42999999998
5496-1,2013-07-31,Alex Grayson,"644 George St, Sydney",Sydney,NSW,Small Business,Radhya Staples,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-08-02,4.59,7.28,2.69,27.0,81.14,10.0,7.34,77.48,11.15,80.32,70838.74999999999
5955-1,2013-08-01,Jim Kriz,"85-113 Dunning Ave, Roseberry",Sydney,NSW,Small Business,Mihael Khan,Not Specified,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013-08-11,5.19,12.98,7.79,18.0,431.74,2.0,4.32,427.4,3.14,430.69,71269.43999999999
5076-1,2013-08-01,Cynthia Arntzen,"Hoyts Entertainment Quarter 122 Lang Road, Moore Park",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths File Caddy,Office Supplies,Wrap Bag,Regular Air,2013-08-02,4.03,9.38,5.35,23.0,273.32,9.0,4.76,261.79,7.28,263.86,71533.29999999999
5945-1,2013-08-02,Chuck Magee,"1-2/299 Sussex St, Sydney",Sydney,NSW,Small Business,Aanya Zhang,High,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2013-08-04,13.64,20.98,7.34,10.0,806.88,6.0,26.59,780.46,1.49,793.51,72326.80999999998
5320-1,2013-08-02,Chuck Magee,"1-2/299 Sussex St, Sydney",Sydney,NSW,Consumer,Aanya Zhang,Low,Alto Memo Cubes,Technology,Small Box,Regular Air,2013-08-04,3.32,5.18,1.86,37.0,39.36,3.0,3.95,33.66,2.04,36.07,72362.87999999999
5928-1,2013-08-02,Liz Pelletier,"79 Elliott St, Balmain",Sydney,NSW,Home Office,Aanya Zhang,Not Specified,Apex Elite Stainless Steel Scissors,Technology,Jumbo Drum,Delivery Truck,2013-08-04,3.42,8.34,4.92,31.0,91.22,6.0,7.34,83.26,2.64,94.51,72457.38999999998
5198-1,2013-08-02,Chuck Magee,"1-2/299 Sussex St, Sydney",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Small Box,Regular Air,2013-08-04,1.53,2.78,1.25,37.0,111.2,0.0,3.34,107.86,1.34,109.2,72566.58999999998
5676-1,2013-08-02,Chuck Magee,"1-2/299 Sussex St, Sydney",Sydney,NSW,Corporate,Aanya Zhang,Critical,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Express Air,2013-08-04,4.53,7.3,2.77,1.0,228.0,1.0,2.15,213.81,7.72,230.9,72797.48999999998
5443-1,2013-08-03,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2013-08-03,6.39,19.98,13.59,15.0,232.8,4.0,2.24,211.52,4.0,226.54,73024.02999999997
5154-1,2013-08-04,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Regular Air,2013-08-16,1.87,8.12,6.25,13.0,259.84,10.0,20.79,239.05,2.83,241.88,73265.90999999997
5201-1,2013-08-04,Barry Prown,"99 Lygon Street, East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,Barrel Sharpener,Office Supplies,Small Box,Regular Air,2013-08-09,1.46,3.57,2.11,25.0,82.11,3.0,7.39,74.72,4.17,78.89,73344.79999999997
5953-1,2013-08-05,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Corporate,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-08-16,4.59,7.28,2.69,18.0,42.92,2.0,3.79,42.25,11.15,42.25,73387.04999999997
5314-1,2013-08-06,Seth Vernon,"541 Church St, Richmond",Melbourne,VIC,Consumer,Yvette Biti,Critical,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-08-08,1.94,3.08,1.14,34.0,194.3,3.0,3.82,188.54,0.99,189.94,73576.98999999998
5865-1,2013-08-06,Max Jonel,"127 Liverpool St, Sydney",Sydney,NSW,Consumer,Samantha Chairs,Not Specified,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2013-08-09,3.52,5.68,2.16,6.0,75.6,2.0,7.7,64.98,1.39,69.51,73646.49999999997
6069-1,2013-08-07,Vivian Mathis,"Crown Complex, Southbank",Melbourne,VIC,Corporate,Connor Betts,Low,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Wrap Bag,Regular Air,2013-08-09,3.88,6.47,2.59,50.0,111.2,8.0,7.37,103.77,1.22,109.99,73756.48999999998
5288-1,2013-08-07,Alex Grayson,"644 George St, Sydney",Sydney,NSW,Consumer,Radhya Staples,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-08-09,5.33,8.6,3.27,30.0,272.7,1.0,8.68,227.52,6.19,231.72,73988.20999999998
5932-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,Steady Liquid Accent Tank-Style Highlighters,Furniture,Small Pack,Regular Air,2013-08-16,1.31,2.84,1.53,44.0,43.22,3.0,3.13,43.52,0.93,43.05,74031.25999999998
5758-1,2013-08-09,Tony Sayre,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2013-08-13,13.88,22.38,8.5,39.0,251.06,3.0,23.26,267.92,15.1,270.94,74302.19999999998
5646-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Not Specified,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2013-08-16,3.4,5.4,2.0,27.0,184.72,3.0,7.32,174.51,7.78,178.2,74480.39999999998
5140-1,2013-08-09,Tony Sayre,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,High,Aluminum Document Frame,Office Supplies,Small Box,Regular Air,2013-08-13,5.5,12.22,6.72,3.0,249.76,0.0,29.97,239.33,2.85,242.85,74723.24999999999
5584-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Home Office,Natasha Song,Low,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-08-16,2.5,5.68,3.18,37.0,205.32,4.0,23.19,191.05,3.6,199.04,74922.28999999998
5148-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Artisan Flip-Chart Easel Binder, Black",Technology,Large Box,Regular Air,2013-08-16,13.88,22.38,8.5,40.0,230.62,4.0,23.26,232.52,15.1,247.64,75169.92999999998
5400-1,2013-08-09,Tony Sayre,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Low,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Small Box,Regular Air,2013-08-13,1.92,3.26,1.34,30.0,98.0,8.0,7.92,85.0,1.86,85.49,75255.41999999998
5393-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Low,Artisan Binder Labels,Office Supplies,Wrap Bag,Regular Air,2013-08-16,2.45,3.89,1.44,1.0,126.04,2.0,23.11,127.78,7.01,127.15,75382.56999999998
5280-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-08-16,2.5,5.68,3.18,25.0,273.72,9.0,28.97,265.35,3.6,279.43,75661.99999999997
5550-1,2013-08-09,Kean Takahito,"21 Wentworth St, Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-08-10,3.32,5.18,1.86,33.0,28.92,8.0,0.24,28.5,2.04,29.53,75691.52999999997
5877-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Corporate,Natasha Song,Low,Artisan 479 Labels,Office Supplies,Small Pack,Regular Air,2013-08-16,1.59,2.61,1.02,49.0,83.52,10.0,3.21,81.01,0.5,82.0,75773.52999999997
5982-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Corporate,Natasha Song,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-08-16,2.5,5.68,3.18,31.0,230.02,9.0,38.26,226.52,3.6,231.52,76005.04999999997
5936-1,2013-08-09,Tony Sayre,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2013-08-13,4.59,7.28,2.69,25.0,167.42,9.0,3.68,158.69,11.15,169.71,76174.75999999998
5394-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Home Office,Natasha Song,High,Aluminum Document Frame,Office Supplies,Wrap Bag,Express Air,2013-08-16,5.5,12.22,6.72,23.0,129.25,3.0,3.96,126.07,2.85,228.16,76402.91999999998
5973-1,2013-08-09,Tony Sayre,"499-501 Lygon Street, Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Critical,Aluminum Document Frame,Office Supplies,Wrap Bag,Regular Air,2013-08-13,5.5,12.22,6.72,42.0,85.92,7.0,3.72,86.47,2.85,82.68,76485.59999999998
5385-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2013-08-16,2.45,3.89,1.44,22.0,88.06,2.0,3.72,86.3,7.01,88.34,76573.93999999997
5440-1,2013-08-09,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Pack,Express Air,2013-08-16,13.88,22.38,8.5,7.0,880.16,5.0,38.23,708.06,15.1,735.26,77309.19999999997
6214-1,2013-08-10,Edward Hooks,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Medium,Apex Box Cutter Scissors,Office Supplies,Small Box,Regular Air,2013-08-12,4.19,10.23,6.04,1.0,287.0,0.0,28.26,256.64,4.68,263.94,77573.13999999997
5440-1,2013-08-10,Edward Hooks,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Amtisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-08-12,5.33,8.6,3.27,19.0,287.0,0.0,28.7,258.3,6.19,263.31,77836.44999999997
5360-1,2013-08-10,Edward Hooks,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,3Max Organizer Strips,Office Supplies,Small Pack,Regular Air,2013-08-12,3.4,5.4,2.0,50.0,78.0,8.0,2.9,75.1,7.78,79.71,77916.15999999997
6259-1,2013-08-10,Edward Hooks,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,High,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013-08-12,4.53,7.3,2.77,23.0,259.6,2.0,20.36,246.22,7.72,245.56,78161.71999999997
5867-1,2013-08-10,Edward Hooks,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Furniture,Small Pack,Express Air,2013-08-12,4.48,8.14,3.66,8.0,47.97,10.0,2.4,45.27,3.12,48.27,78209.98999999998
6209-1,2013-08-10,Edward Hooks,"224A Gertrude St, Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Low,Artisan 479 Labels,Technology,Small Box,Regular Air,2013-08-12,1.59,2.61,1.02,26.0,225.0,1.0,2.26,213.89,0.5,224.39,78434.37999999998
6236-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Small Business,Yvette Biti,Low,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2013-08-13,1.6,2.62,1.02,8.0,37.61,6.0,2.73,37.45,0.8,38.35,78472.72999999998
5358-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Furniture,Large Box,Regular Air,2013-08-13,4.48,8.14,3.66,17.0,78.04,0.0,2.33,78.59,3.12,79.33,78552.05999999998
5306-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Home Office,Yvette Biti,Low,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2013-08-13,1.59,2.61,1.02,6.0,28.11,4.0,2.53,25.59,0.5,23.29,78575.34999999998
5732-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Corporate,Yvette Biti,High,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-08-13,3.42,8.34,4.92,7.0,229.4,10.0,2.59,227.01,2.64,241.43,78816.77999999997
5476-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Consumer,Yvette Biti,Medium,Pizazz Colored Pencils,Office Supplies,Small Box,Regular Air,2013-08-13,1.76,2.94,1.18,32.0,247.26,2.0,2.45,142.56,0.81,143.38,78960.15999999997
5203-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Home Office,Yvette Biti,Critical,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,2013-08-13,1.94,3.08,1.14,33.0,23.08,3.0,2.25,22.15,0.99,22.23,78982.38999999997
5386-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Small Box,Regular Air,2013-08-13,2.16,3.85,1.69,23.0,22.88,7.0,2.29,21.62,0.7,22.53,79004.91999999997
5303-1,2013-08-11,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2013-08-13,1.59,2.61,1.02,19.0,23.86,1.0,2.23,21.86,0.5,22.28,79027.19999999997
5209-1,2013-08-11,Jim Kriz,"85-113 Dunning Ave, Roseberry",Sydney,NSW,Consumer,Mihael Khan,High,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,2013-08-12,0.93,1.48,0.55,42.0,23.16,0.0,2.63,21.92,0.7,22.83,79050.02999999997
5380-1,2013-08-11,Liz Willingham,"60 Commercial Rd, Prahran",Melbourne,VIC,Corporate,Yvette Biti,Critical,Artisan 478 Labels,Office Supplies,Small Box,Regular Air,2013-08-13,3.14,4.91,1.77,11.0,22.82,8.0,2.54,21.66,0.5,22.52,79072.54999999997
5293-1,2013-08-12,Stra Carroll,"Westfield Sydney, Sydney",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2013-08-14,13.64,20.98,7.34,18.0,830.16,5.0,26.56,735.04,1.49,794.53,79867.07999999997
5824-1,2013-08-12,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Bulldog Clip,Technology,Small Box,Regular Air,2013-08-16,2.31,3.78,1.47,29.0,166.48,9.0,3.63,151.77,0.71,152.59,80019.66999999997
5312-1,2013-08-14,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road, Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2013-08-23,0.24,1.26,1.02,9.0,42.24,9.0,1.69,40.55,0.7,47.38,80067.04999999997
6286-1,2013-08-14,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road, Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,High,Economy Binders,Office Supplies,Wrap Bag,Regular Air,2013-08-23,1.33,2.08,0.75,50.0,36.89,9.0,1.39,36.07,1.49,34.56,80101.60999999997
5213-1,2013-08-15,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Corporate,Natasha Song,High,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Express Air,2013-08-16,1.31,2.84,1.53,39.0,36.92,6.0,0.37,36.55,0.93,37.48,80139.08999999997
5855-1,2013-08-15,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Critical,Apex Pright Scissors,Office Supplies,Small Box,Regular Air,2013-08-16,5.19,12.98,7.79,6.0,229.4,3.0,2.47,227.51,3.14,230.34,80369.42999999996
5204-1,2013-08-15,Aaron Bergman,"Westfield Sydney, Sydney",Sydney,NSW,Small Business,Natasha Song,Critical,Smiths Standard Envelopes,Technology,Small Box,Express Air,2013-08-16,3.52,5.68,2.16,42.0,236.6,7.0,2.67,234.01,1.39,256.43,80625.85999999996
5391-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2013-08-17,2.26,3.58,1.32,42.0,46.6,1.0,3.27,42.25,5.47,42.04,80667.89999999995
5392-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Apex Straight Scissors,Office Supplies,Small Box,Express Air,2013-08-17,5.19,12.98,7.79,29.0,486.82,3.0,37.68,352.05,3.14,365.55,81033.44999999995
5214-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,2013-08-17,2.52,4.0,1.48,8.0,164.0,9.0,3.28,160.72,1.3,162.02,81195.46999999996
5314-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Consumer,Tina Carlton,High,Steady Pocket Accent Highlighters,Office Supplies,Small Pack,Regular Air,2013-08-17,0.93,1.6,0.67,24.0,42.9,10.0,3.75,39.5,1.29,30.49,81225.95999999996
5834-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-08-17,3.65,5.98,2.33,27.0,164.0,3.0,3.28,160.72,1.49,160.08,81386.03999999996
